GFR,LFR,Temp,CO2alpha,CO2pp,Height,kGa,eta
668.089,7.486,58.661,0.05799999999999999,5.002,27.1,1.7036922313692688,0.9999967283976499
926.18,7.047,42.728,0.408,11.652,17.9,0.8161346888286649,0.8314056089028892
577.428,6.746,57.503,0.147,1.1349999999999993,15.400000000000002,1.5734679452611724,0.9402003136519436
630.101,6.629,49.33,0.282,19.894,19.6,0.3486482509716472,0.6263290808402732
719.154,8.363,46.134,0.309,14.13,5.1,0.4661501919349662,0.4796137596701409
955.9350000000001,6.390000000000001,47.982,0.149,1.5369999999999995,10.800000000000002,1.4659868215586036,0.6875873479527528
707.542,6.670000000000001,76.142,0.173,8.5,27.6,1.0574902765520746,0.9994980011983889
458.2169999999999,5.778,55.681,0.183,6.939,10.3,0.8079750918096833,0.5559886719696404
711.748,3.978,46.295,0.159,11.078,26.1,0.6063323547819954,0.9604576665130228
356.992,5.463,59.54,0.191,7.762,5.3,0.764834060403672,0.48720180241063865
305.786,4.635,52.388,0.030999999999999996,13.584,10.9,0.7709022063445807,0.563767579149058
258.401,2.402,61.951,0.005999999999999989,14.83,28.5,1.1233489136977242,0.999849826954393
809.679,5.548,43.533,0.32,6.027,13.8,0.6287758760360918,0.6042138246810894
823.153,5.348,68.032,0.44899999999999995,10.276,26.3,0.6609406293389597,0.9753413667682954
236.75600000000003,2.914,75.772,0.389,17.966,23.5,1.6498320057014768,0.9998475708071254
106.218,4.588,47.198,0.03200000000000001,14.238,27.4,0.7933633906640833,0.9946659278517044
261.554,4.267,61.081,0.245,14.333,5.9,0.8431993729659324,0.4940362551446098
976.5939999999999,4.775,52.898,0.271,6.165,5.0,0.38781766341273105,0.47773808385010286
252.878,7.367,52.451,0.181,19.384,15.7,0.3326410134297611,0.5511801951846828
397.726,3.16,42.009,0.199,7.533,9.2,0.33047625371182376,0.49280648221508255
812.9669999999999,2.549,51.338,0.03999999999999998,4.15,15.9,0.06499843899514064,0.48303418219480426
730.336,9.887,66.917,0.144,9.07,25.6,1.7082534446578688,0.9999855193345585
853.571,8.518,48.228,0.373,12.982,29.900000000000002,0.6252855729106034,0.9919701553620582
817.123,9.083,42.326,0.086,12.473,13.7,0.7176851254575882,0.6275493951429436
509.78,4.856,56.261,0.161,14.084,19.2,0.7938104085495008,0.8706130375611858
651.97,5.884,74.39,0.076,13.713,28.200000000000003,0.7175228330419385,0.9929440390659396
646.169,6.29,45.485,0.047999999999999994,2.0529999999999995,13.4,1.1804873147237966,0.7563332800022873
557.533,2.934,49.63,0.376,1.616000000000001,8.1,0.03827564183658429,0.4724098809205327
472.356,9.64,41.154,0.06499999999999999,8.263,24.4,1.5939211757608187,0.9999005776514998
598.36,9.658,54.044,0.141,6.325,16.3,2.16071762029857,0.9932128175737892
979.418,3.14,68.248,0.035,4.248,27.4,0.0963642603164174,0.5391934350949181
593.813,8.482,58.725,0.154,16.188,29.8,0.2677512146236267,0.7971122000501993
311.43,2.611,71.469,0.37,13.286,17.4,0.8877213981019415,0.8411777288382187
130.06499999999997,8.998,62.091,0.249,11.344,27.6,0.9243791055752394,0.9984246801162996
506.267,5.184,48.805,0.44100000000000006,6.732,18.4,0.6343392786770073,0.7608860207048089
147.46800000000002,7.536,46.925,0.185,6.568,24.2,1.2776390288766541,0.9990415703299285
928.379,2.307,43.612,0.275,3.0950000000000006,23.200000000000003,0.027469491333068106,0.4817120217653632
456.779,4.051,67.751,0.004000000000000006,3.3749999999999996,8.5,0.31117325210107916,0.48804542543317725
